Reporting the nDCG & Recall for 'WMF' on 'ML-10M'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || confidence, factors, reg, iterations
0.05430  || 0.0330 | 0.0461 | 0.0552 | 0.0621 || 0.0539 | 0.0950 | 0.1295 | 0.1589 || 2021-02-13-07-25-13 || 2, 187, 0.01, 15
0.05377  || 0.0320 | 0.0456 | 0.0547 | 0.0615 || 0.0522 | 0.0945 | 0.1289 | 0.1580 || 2021-02-13-07-40-59 || 2, 190, 0.01, 15
0.05362  || 0.0323 | 0.0455 | 0.0547 | 0.0616 || 0.0527 | 0.0942 | 0.1288 | 0.1580 || 2021-02-13-06-29-26 || 2, 175, 0.01, 15
0.05346  || 0.0326 | 0.0461 | 0.0553 | 0.0623 || 0.0533 | 0.0953 | 0.1304 | 0.1600 || 2021-02-13-08-19-02 || 2, 156, 0.01, 15
0.05346  || 0.0324 | 0.0461 | 0.0555 | 0.0622 || 0.0528 | 0.0956 | 0.1310 | 0.1593 || 2021-02-13-06-38-21 || 2, 168, 0.01, 15
0.05346  || 0.0323 | 0.0452 | 0.0546 | 0.0616 || 0.0527 | 0.0930 | 0.1285 | 0.1582 || 2021-02-13-05-49-47 || 2, 200, 0.01, 15
0.05341  || 0.0333 | 0.0463 | 0.0555 | 0.0623 || 0.0541 | 0.0950 | 0.1297 | 0.1587 || 2021-02-13-08-39-03 || 2, 183, 0.01, 15
0.05318  || 0.0324 | 0.0461 | 0.0554 | 0.0624 || 0.0530 | 0.0960 | 0.1311 | 0.1607 || 2021-02-13-09-04-40 || 2, 151, 0.01, 15
0.05295  || 0.0324 | 0.0459 | 0.0554 | 0.0625 || 0.0531 | 0.0954 | 0.1313 | 0.1616 || 2021-02-13-08-45-42 || 2, 136, 0.01, 15
0.05287  || 0.0324 | 0.0459 | 0.0556 | 0.0630 || 0.0527 | 0.0951 | 0.1317 | 0.1631 || 2021-02-13-05-40-44 || 3, 146, 0.01, 15
0.05276  || 0.0326 | 0.0462 | 0.0557 | 0.0629 || 0.0533 | 0.0958 | 0.1317 | 0.1623 || 2021-02-13-07-33-16 || 2, 124, 0.01, 15
0.05268  || 0.0322 | 0.0456 | 0.0552 | 0.0625 || 0.0525 | 0.0942 | 0.1306 | 0.1615 || 2021-02-13-08-26-08 || 2, 113, 0.01, 15
0.05172  || 0.0318 | 0.0453 | 0.0551 | 0.0623 || 0.0520 | 0.0943 | 0.1314 | 0.1617 || 2021-02-13-05-57-56 || 2, 100, 0.01, 15
0.04995  || 0.0305 | 0.0437 | 0.0533 | 0.0606 || 0.0504 | 0.0918 | 0.1280 | 0.1589 || 2021-02-13-06-13-47 || 12, 199, 0.01, 15
0.04479  || 0.0270 | 0.0396 | 0.0485 | 0.0559 || 0.0447 | 0.0842 | 0.1180 | 0.1490 || 2021-02-13-09-23-28 || 28, 190, 0.01, 15
0.04400  || 0.0268 | 0.0394 | 0.0483 | 0.0556 || 0.0449 | 0.0840 | 0.1179 | 0.1489 || 2021-02-13-07-57-06 || 21, 133, 0.01, 15
0.04387  || 0.0265 | 0.0388 | 0.0478 | 0.0552 || 0.0442 | 0.0829 | 0.1170 | 0.1485 || 2021-02-13-05-16-15 || 25, 159, 0.01, 15
0.04376  || 0.0269 | 0.0391 | 0.0481 | 0.0555 || 0.0450 | 0.0830 | 0.1173 | 0.1484 || 2021-02-13-05-24-17 || 32, 180, 0.01, 15
0.04245  || 0.0256 | 0.0377 | 0.0468 | 0.0541 || 0.0430 | 0.0809 | 0.1153 | 0.1462 || 2021-02-13-08-58-22 || 23, 116, 0.01, 15
0.04233  || 0.0246 | 0.0369 | 0.0459 | 0.0530 || 0.0414 | 0.0799 | 0.1138 | 0.1439 || 2021-02-13-07-09-59 || 47, 200, 0.01, 15
0.04187  || 0.0256 | 0.0374 | 0.0465 | 0.0539 || 0.0429 | 0.0798 | 0.1142 | 0.1454 || 2021-02-13-06-54-21 || 21, 100, 0.01, 15
0.04084  || 0.0242 | 0.0358 | 0.0449 | 0.0520 || 0.0405 | 0.0770 | 0.1114 | 0.1417 || 2021-02-13-09-10-58 || 36, 146, 0.01, 15
0.04042  || 0.0233 | 0.0351 | 0.0438 | 0.0509 || 0.0394 | 0.0764 | 0.1092 | 0.1392 || 2021-02-13-06-46-34 || 66, 200, 0.01, 15
